parid,elev
6632430,20
3529651,10
3533780,10
3532431,5
3533780,10
3532783,5
3526899,10
5987523,20
3526899,10
3527429,5
3533801,10
3534301,10
3534352,10
3528174,10
3528174,10
3136683,10
6615969,10
5987523,20
3534395,10
3534514,10
6614652,10
3532538,5
3534638,10
6614652,10
3534646,10
6632341,20
6614831,10
6614776,10
3534808,10
3536959,10
6615004,10
3532538,5
6615489,10
6005133,15
6615489,10
6632197,20
6616302,10
3537025,10
3537319,10
6004285,15
3537947,10
3538099,10
3538099,10
6796351,20
3538439,15
6004587,15
3538366,20
3538391,20
6532745,15
6532745,15
6535361,15
3502647,5
3538455,15
6534896,15
3538498,10
3541006,10
6535051,15
5830951,20
3540956,10
3540956,10
3502655,5
3541031,10
3540972,10
3394771,15
5831493,20
3541022,10
3571819,20
3502884,5
3540841,10
3571771,20
3540841,10
5831582,20
3573935,25
3573960,25
3137043,20
3137060,20
3503163,5
3575318,25
3541235,10
3575318,25
6596620,5
3541421,10
3573382,25
6596603,5
3573404,25
3544498,10
3573404,25
3511921,10
3544501,10
3575121,30
3574907,30
6251215,15
6251207,15
6251142,15
3575491,25
3567366,15
3575229,25
6250111,15
3105192,15
3105761,15
3394755,15
6250987,15
6250324,15
3541588,10
4534865,10
3138244,10
3138287,10
3541758,10
3105974,15
3105176,15
3105109,15
3105061,15
4535781,10
3541715,10
3105028,15
3106105,15
3105257,15
3541936,10
6251070,15
6249792,15
4590421,10
3433611,25
3574966,30
5569543,20
3575237,25
6612030,20
3394321,15
5756513,20
5756459,20
4590943,10
6002959,15
6611955,20
5568989,20
6004153,15
6003009,15
4590439,10
6616981,20
5656471,20
5347940,25
3407717,10
4998900,20
3109902,10
4591061,10
3109902,10
4807152,20
3392973,5
5642003,15
4087338,5
6632596,20
4095217,20
4535691,10
4590765,10
4588817,10
4522581,15
6632677,20
4679472,10
4588965,10
4588973,10
4588973,10
4590668,10
4589082,10
4728996,10
4588779,10
4729089,10
4750134,10
3140087,10
5347362,25
4796002,5
4817280,15
4590391,10
4817417,20
4817484,15
4796070,5
4817573,15
4817662,15
4817719,15
4901825,30
4590293,10
3394399,15
4796126,5
5568695,20
5425177,25
6004510,15
4591141,10
5029158,25
5029166,25
6002606,15
5425649,25
4591150,10
6535191,15
5048608,25
6534926,15
5048667,25
5055752,30
5055850,30
5048888,25
5048993,25
5055876,30
5569608,20
4590251,10
5049051,25
5082903,25
5104303,15
5104303,15
5104303,15
4589724,10
3541499,10
5128474,25
4998918,20
3110285,10
3110218,10
5807282,5
6292078,20
3394844,15
3275713,5
5807282,5
6750017,15
5114830,10
6412529,20
5128474,25
4808001,20
6412511,20
5987744,20
5987841,20
5756041,20
5756041,20
5756033,20
3424034,20
3104251,5
5755738,20
5755711,20
6617422,20
5756246,20
4626433,10
6616531,10
5587908,10
6617813,20
6749159,15
5587347,10
3107101,20
